theta_hid_log[2], theta_out_log[1]
0.615049, -0.327525, 1.69715
0.615036, -0.327605, 1.6979
0.615024, -0.327685, 1.69866
0.615011, -0.327765, 1.69941
0.614999, -0.327845, 1.70017
0.614986, -0.327925, 1.70092
0.614973, -0.328005, 1.70167
0.61496, -0.328085, 1.70242
0.614948, -0.328165, 1.70316
0.614935, -0.328244, 1.70391
0.614922, -0.328324, 1.70465
0.614909, -0.328403, 1.7054
0.614896, -0.328483, 1.70614
0.614882, -0.328562, 1.70688
0.614869, -0.328641, 1.70762
0.614856, -0.32872, 1.70836
0.614843, -0.328799, 1.7091
0.614829, -0.328878, 1.70983
0.614816, -0.328956, 1.71057
0.614803, -0.329035, 1.7113
0.614789, -0.329113, 1.71203
0.614776, -0.329192, 1.71276
0.614762, -0.32927, 1.71349
0.614748, -0.329348, 1.71422
0.614735, -0.329427, 1.71495
0.614721, -0.329505, 1.71568
0.614707, -0.329583, 1.7164
0.614693, -0.329661, 1.71712
0.614679, -0.329738, 1.71785
0.614665, -0.329816, 1.71857
0.614651, -0.329894, 1.71929
0.614637, -0.329971, 1.72001
0.614623, -0.330049, 1.72072
0.614609, -0.330126, 1.72144
0.614595, -0.330203, 1.72216
0.614581, -0.33028, 1.72287
0.614566, -0.330357, 1.72358
0.614552, -0.330434, 1.7243
0.614538, -0.330511, 1.72501
0.614523, -0.330588, 1.72572
0.614509, -0.330665, 1.72642
0.614494, -0.330741, 1.72713
0.61448, -0.330818, 1.72784
0.614465, -0.330894, 1.72854
0.61445, -0.330971, 1.72924
0.614436, -0.331047, 1.72995
0.614421, -0.331123, 1.73065
0.614406, -0.331199, 1.73135
0.614391, -0.331275, 1.73205
0.614376, -0.331351, 1.73275
0.614361, -0.331427, 1.73344
0.614346, -0.331502, 1.73414
0.614331, -0.331578, 1.73483
0.614316, -0.331654, 1.73553
0.614301, -0.331729, 1.73622
0.614286, -0.331804, 1.73691
0.614271, -0.33188, 1.7376
0.614256, -0.331955, 1.73829
0.614241, -0.33203, 1.73898
0.614225, -0.332105, 1.73966
0.61421, -0.33218, 1.74035
0.614195, -0.332255, 1.74103
0.614179, -0.33233, 1.74172
0.614164, -0.332404, 1.7424
0.614148, -0.332479, 1.74308
0.614133, -0.332553, 1.74376
0.614117, -0.332628, 1.74444
0.614101, -0.332702, 1.74512
0.614086, -0.332776, 1.7458
0.61407, -0.332851, 1.74647
0.614054, -0.332925, 1.74715
0.614039, -0.332999, 1.74782
0.614023, -0.333073, 1.74849
0.614007, -0.333147, 1.74917
0.613991, -0.33322, 1.74984
0.613975, -0.333294, 1.75051
0.613959, -0.333368, 1.75117
0.613943, -0.333441, 1.75184
0.613927, -0.333514, 1.75251
0.613911, -0.333588, 1.75317
0.613895, -0.333661, 1.75384
0.613879, -0.333734, 1.7545
0.613863, -0.333807, 1.75516
0.613847, -0.33388, 1.75583
0.61383, -0.333953, 1.75649
0.613814, -0.334026, 1.75715
0.613798, -0.334099, 1.7578
0.613909, -0.333499, 1.75333
0.614019, -0.332899, 1.74883
0.614127, -0.332299, 1.74432
0.614234, -0.331698, 1.73978
0.614338, -0.331097, 1.73523
0.614441, -0.330497, 1.73066
0.614542, -0.329896, 1.72607
0.614641, -0.329295, 1.72146
0.614738, -0.328694, 1.71683
0.614834, -0.328092, 1.71218
0.614927, -0.327491, 1.70751
0.615018, -0.32689, 1.70282
0.615107, -0.326289, 1.69811
0.615194, -0.325687, 1.69338
0.615279, -0.325086, 1.68863
0.615362, -0.324485, 1.68386
0.615443, -0.323884, 1.67907
0.615522, -0.323283, 1.67426
0.615598, -0.322682, 1.66943
0.615673, -0.322081, 1.66458
0.615745, -0.32148, 1.6597
0.615814, -0.32088, 1.65481
0.615882, -0.320279, 1.64989
0.615947, -0.319679, 1.64496
0.616009, -0.319079, 1.64
0.616069, -0.31848, 1.63502
0.616127, -0.31788, 1.63003
0.616182, -0.317281, 1.62501
0.616235, -0.316682, 1.61996
0.616285, -0.316084, 1.6149
0.616333, -0.315486, 1.60982
0.616378, -0.314888, 1.60471
0.61642, -0.314291, 1.59958
0.61646, -0.313695, 1.59443
0.616497, -0.313098, 1.58926
0.616531, -0.312503, 1.58406
0.616562, -0.311907, 1.57885
0.616591, -0.311313, 1.57361
0.616616, -0.310719, 1.56835
0.616639, -0.310125, 1.56306
0.616659, -0.309533, 1.55776
0.616675, -0.308941, 1.55243
0.616689, -0.308349, 1.54708
0.6167, -0.307759, 1.54171
0.616707, -0.307169, 1.53631
0.616711, -0.30658, 1.53089
0.616713, -0.305992, 1.52545
0.61671, -0.305404, 1.51999
0.616705, -0.304818, 1.5145
0.616696, -0.304233, 1.50899
0.616684, -0.303648, 1.50346
0.616669, -0.303065, 1.4979
0.61665, -0.302482, 1.49232
